IDTournament|Year|Duration|Timestamp|Draw|Indoor|Surface|TournamentPrize|IDPlayer|IDOpponent|Win|RoundNumber|TournamentStart|TournamentEnd|Scores|WinnerScores|LoserScores|TieBreakScores|Retirement|Aces|BreakPointsConverted|BreakPointsConvertedTotal|BreakPointsSaved|BreakPointsSavedTotal|DoubleFaults|FirstServe|FirstServePointsWon|FirstServePointsWonTotal|FirstServeReturnPointsWon|FirstServeReturnPointsWonTotal|FirstServeTotal|ReturnGamesPlayed|SecondServePointsWon|SecondServePointsWonTotal|SecondServeReturnPointsWon|SecondServeReturnPointsWonTotal|ServiceGamesPlayed|TotalPointsWon|TotalPointsWonTotal|TotalReturnPointsWon|TotalReturnPointsWonTotal|TotalServicePointsWon|TotalServicePointsWonTotal|p|r|t|y
0|2013|86|13569084003|32|0|Hard|$436630|225|165|1|3|31.12.2012|06.01.2013|['6', '6']|['6', '6']|['4', '1']|['-1', '-1']|0|7|4|7|3|4|6|44|33|44|7|26|69|8|11|25|19|27|9|70|122|26|53|44|69|MH30|3|0339|2013
0|2013|86|13569084003|32|0|Hard|$436630|165|225|0|3|31.12.2012|06.01.2013|['4', '1']|['6', '6']|['4', '1']|['-1', '-1']|0|2|1|4|3|7|5|26|19|26|11|44|53|9|8|27|14|25|8|52|122|25|69|27|53|MH30|3|0339|2013
0|2013|124|13569084003|32|0|Hard|$436630|227|79|1|3|31.12.2012|06.01.2013|['6', '4', '6']|['6', '4', '6']|['3', '6', '2']|['-1', '-1', '-1']|0|8|4|10|1|2|2|34|29|34|16|53|69|14|21|35|27|46|13|93|168|43|99|50|69|H432|3|0339|2013
0|2013|124|13569084003|32|0|Hard|$436630|79|227|0|3|31.12.2012|06.01.2013|['3', '6', '2']|['6', '4', '6']|['3', '6', '2']|['-1', '-1', '-1']|0|7|1|2|6|10|5|53|37|53|5|34|99|13|19|46|14|35|14|75|168|19|69|56|99|H432|3|0339|2013
0|2013|70|13569084003|32|0|Hard|$436630|280|258|1|3|31.12.2012|06.01.2013|['6', '6']|['6', '6']|['1', '2']|['-1', '-1']|0|6|4|13|2|2|2|33|28|33|12|31|53|7|8|20|17|26|8|65|110|29|57|36|53|I165|3|0339|2013
0|2013|70|13569084003|32|0|Hard|$436630|258|280|0|3|31.12.2012|06.01.2013|['1', '2']|['6', '6']|['1', '2']|['-1', '-1']|0|3|0|2|9|13|3|31|19|31|5|33|57|8|9|26|12|20|7|45|110|17|53|28|57|I165|3|0339|2013
0|2013|104|13569084003|32|0|Hard|$436630|90|68|1|3|31.12.2012|06.01.2013|['6', '2', '6']|['6', '2', '6']|['3', '6', '1']|['-1', '-1', '-1']|0|4|5|6|8|11|1|63|40|63|19|48|94|12|15|31|15|22|12|89|164|34|70|55|94|N289|3|0339|2013
0|2013|104|13569084003|32|0|Hard|$436630|68|90|0|3|31.12.2012|06.01.2013|['3', '6', '1']|['6', '2', '6']|['3', '6', '1']|['-1', '-1', '-1']|0|6|3|11|1|6|6|48|29|48|23|63|70|12|7|22|16|31|12|75|164|39|94|36|70|N289|3|0339|2013
0|2013|96|13569084003|32|0|Hard|$436630|11|59|1|3|31.12.2012|06.01.2013|['6', '7']|['6', '7']|['4', '6']|['-1', '4']|0|6|1|1|1|1|0|50|43|50|13|39|64|11|8|14|9|29|11|73|132|22|68|51|64|R419|3|0339|2013
0|2013|96|13569084003|32|0|Hard|$436630|59|11|0|3|31.12.2012|06.01.2013|['4', '6']|['6', '7']|['4', '6']|['-1', '4']|0|4|0|1|0|1|1|39|26|39|7|50|68|11|20|29|6|14|11|59|132|13|64|46|68|R419|3|0339|2013
